Key,pt-BR,en-US
menu_main_new_game,Novo Jogo,New Game
menu_main_continue,Continuar,Continue
menu_main_play,Jogar,Play
menu_main_load,Carregar Jogo,Load Game
menu_main_options,Opções,Settings
menu_main_credits,Créditos,Credits
menu_main_quit,Sair,Quit
,,
menu_pause_resume,Retomar,Resume
menu_pause_options,Opções,Settings
menu_pause_quit,Sair para o Menu,Quit to Main Menu
,,
settings_load_title,Jogos Salvos,Saved Games
settings_load_load,Carregar,Load
settings_load_delete,Excluir,Delete
,,
settings_audio_title,Áudio,Audio
settings_audio_master,Principal,Master
settings_audio_music,Música,Music
settings_audio_sfx,SFX,SFX
settings_audio_ambience,Ambiente,Ambience
settings_audio_force_mono,Áudio Mono,Mono Audio
,,
settings_title_gameplay,Jogabilidade,Gameplay
settings_gameplay_sensibility,Sensibilidade,Sensitivity
settings_gameplay_invert_y,Inverter Eixo Y,Invert Y-Axis
settings_gameplay_language,Idioma,Language
,,
settings_title_psx,Gráficos PSX,PSX Graphics
settings_psx_vhs,Efeito VHS,VHS Effect
settings_psx_scanlines,Linhas de Varredura,Scanlines
settings_psx_rolling_bands,Faixa de Interferência,Rolling Bands
settings_psx_pixelation,Pixelização,Pixelation
settings_psx_dithering,Dithering,Dithering
settings_psx_barrel_distortion,Distorção de Lente,Barrel Distortion
,,
settings_screen_title,Tela,Display
settings_screen_resolution,Resolução,Resolution
settings_screen_fps,Limite de FPS,FPS Limit
settings_screen_fullscreen,Tela Cheia,Fullscreen
settings_screen_unlimited,Ilimitado,Unlimited
,,
general_default_value,Restaurar Padrões,Reset to Default
general_back_button,Voltar,Back
,,
general_on,Ligado,On
general_off,Desligado,Off
general_yes,Sim,Yes
general_no,Não,No
,,
gameplay_interaction_tip,Pressione E,Press E
